Name,Email,Phone,Gender,Education,Course,"Functional Area",Experience,Country,State,City,Address,Role,"Created At"
Abhishek,abhishek123@gmail.com,1234567894,,,,,,,,,,admin,"2023-03-14 16:19:11"
arun,arunkhare@gmail.com,9876543214,,,,,,,,,,employer,"2023-01-12 20:11:58"
sam,sam21@gmail.com,9090909090,,,,,,,,,,candidate,"2022-11-10 18:53:15"
"Ankit sir",ankit@gmail.com,1234567899,,,,,,,,,,admin,"2022-10-02 14:08:02"
"shweta mishra",shwetamishra@gmail.com,7894561231,Female,Graduation,B.Com,"Accounts, Finance & Financial Services","1 Year",India,Maharashtra,Chandrapur,"Ambazari Road Ramnagar Nagpur",candidate,"2022-09-09 14:17:08"
Kamelesh,kamelesh@gmail.com,1234569872,,D.LIT,D.LIT,,,India,Maharashtra,Nagpur,"ramnagar nagpur",employer,"2022-09-09 14:07:29"
"priya dongre",priyadongre@gmail.com,1234567895,Female,Graduation,В.А,"Field Operations","6 Month",India,Maharashtra,Nagpur,Nagpur,candidate,"2022-09-06 19:57:25"
devansh,devansh123@gmail.com,1234567891,,,,,,,,,,employer,"2022-08-23 19:34:05"
Goswami,Goswami123@gmail.com,5555222212,,,,,,,,,,admin,"2022-08-17 20:51:56"
Yash,yashgoda144@gmail.com,4848484848,,,,,,,,,,admin,"2022-05-16 13:24:48"
admin,admin@admin.com,9130160158,,Matriculation/O-Level,"Higher Secondary",,,India,Maharashtra,Nagpur,nagpurr,admin,"2022-02-21 11:40:00"
